epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,21156,0.76543,0.58314,1.05912,0.73299,0.7021,0.71949,0.53982,0.63383,0.34418,0.93917,0.0088516,0.0088516,0.0088516
60,21513.8,0.76317,0.57896,1.05942,0.73218,0.70536,0.71968,0.53933,0.63383,0.34357,0.93933,0.0088318,0.0088318,0.0088318
61,21871.5,0.7619,0.57639,1.05506,0.73675,0.70632,0.7203,0.53952,0.63362,0.34317,0.9393,0.008812,0.008812,0.008812
62,22228.9,0.76138,0.57599,1.05571,0.73544,0.70696,0.71948,0.53801,0.63325,0.34291,0.93896,0.0087922,0.0087922,0.0087922
63,22586.3,0.75779,0.57655,1.05339,0.73446,0.70815,0.72079,0.53693,0.6331,0.34232,0.93913,0.0087724,0.0087724,0.0087724
64,22944.1,0.7574,0.57352,1.05393,0.73273,0.70765,0.72319,0.53856,0.6332,0.34206,0.93911,0.0087526,0.0087526,0.0087526
65,23301.5,0.75792,0.57409,1.05251,0.74332,0.70225,0.72394,0.53919,0.63287,0.34154,0.93891,0.0087328,0.0087328,0.0087328
66,23659.2,0.75579,0.56863,1.05036,0.74522,0.70276,0.72444,0.53961,0.63259,0.34138,0.93854,0.008713,0.008713,0.008713
67,24017,0.75324,0.56771,1.04669,0.74796,0.70234,0.72428,0.53899,0.633,0.34134,0.93888,0.0086932,0.0086932,0.0086932
68,24374.8,0.75227,0.56598,1.04934,0.75332,0.70343,0.72455,0.53929,0.63268,0.34085,0.93857,0.0086734,0.0086734,0.0086734
69,24732.2,0.7516,0.56598,1.04773,0.7488,0.70847,0.72744,0.54022,0.63268,0.34042,0.93865,0.0086536,0.0086536,0.0086536
70,25089.7,0.74975,0.56589,1.05074,0.74485,0.71176,0.72752,0.54053,0.63272,0.34031,0.9388,0.0086338,0.0086338,0.0086338
71,25447.1,0.74872,0.56557,1.04862,0.73984,0.71342,0.7268,0.53976,0.63296,0.34021,0.93898,0.008614,0.008614,0.008614
72,25804.5,0.74824,0.56436,1.04421,0.73886,0.71422,0.72729,0.54042,0.63301,0.33995,0.93886,0.0085942,0.0085942,0.0085942
73,26162.1,0.74499,0.56307,1.04606,0.73778,0.71518,0.72688,0.54048,0.6328,0.33975,0.9387,0.0085744,0.0085744,0.0085744
74,26519.9,0.74433,0.56046,1.0464,0.73891,0.71564,0.72426,0.53922,0.63273,0.33963,0.93866,0.0085546,0.0085546,0.0085546
75,26877.6,0.74677,0.56123,1.04684,0.73984,0.71558,0.72379,0.53945,0.63288,0.33967,0.93868,0.0085348,0.0085348,0.0085348
76,27235.5,0.74352,0.55437,1.04051,0.75524,0.69721,0.72214,0.53965,0.63263,0.3398,0.93842,0.008515,0.008515,0.008515
77,27593.2,0.74071,0.55898,1.0445,0.75409,0.69686,0.72058,0.53927,0.63254,0.33974,0.93833,0.0084952,0.0084952,0.0084952
78,27950.7,0.74508,0.55885,1.04591,0.75452,0.69658,0.72131,0.53955,0.63265,0.33949,0.93841,0.0084754,0.0084754,0.0084754
79,28308.2,0.74047,0.55707,1.04066,0.75942,0.69494,0.72236,0.54013,0.63237,0.33957,0.93823,0.0084556,0.0084556,0.0084556
